Journal title,Journal ISSN (print version),Journal EISSN (online version),Languages in which the journal accepts manuscripts,Publisher,DOAJ Seal,Journal license,APC
Analecta Veterinaria,0365-5148,1514-2590,"English, Spanish",Universidad Nacional de La Plata,No,CC BY-NC-ND,No
Journal of Pre-Clinical and Clinical Research,1898-2395,1898-7516,English,Institute of Rural Health,No,CC BY-NC,No
Filozofia Publiczna i Edukacja Demokratyczna,2299-1875,,"Polish, English",Adam Mickiewicz University,No,CC BY-NC-ND,No
Journal of Modern Transportation,2095-087X,2196-0577,English,SpringerOpen,No,CC BY,No
Nova Scientia,,2007-0705,"Spanish, English",Universidad De La Salle Bajío,No,CC BY,No
Fønix,,2446-175X,Danish,Tidsskriftet Fønix,No,CC BY-NC-ND,No
Press Start,,2055-8198,English,University of Glasgow,No,CC BY,No
Jurnal Pendidikan Fisika Indonesia,1693-1246,2355-3812,"English, Indonesian",Semarang State University,No,CC BY,Yes
Journal for Person-Oriented Research,2002-0244,2003-0177,English,Lund University Library,No,Publisher's own license,No
Pasavento: Revista de Estudios Hispánicos,,2255-4505,Spanish,Universidad de Alcalá de Henares,No,CC BY-NC-ND,No
Estudos de Psicologia (Campinas),0103-166X,1982-0275,"English, French, Portuguese, Spanish",Pontifícia Universidade Católica de Campinas,No,CC BY,No
Revista Latinoamericana de Opinión Pública,1852-9003,2660-700X,"English, Portuguese, Spanish",Ediciones Universidad de Salamanca,No,CC BY-NC-ND,No
Journal of Eurasian Studies,1879-3665,1879-3673,English,SAGE Publishing,No,"CC BY, CC BY-NC",No
Antropologia Portuguesa,0870-0990,2182-7982,"English, Portuguese",Coimbra University Press,No,CC BY,No
Boletim de Estudos Clássicos,0872-2110,2183-7260,Portuguese,Coimbra University Press,No,CC BY,No
Modern Management Review,2300-6366,2353-0758,English,Publishing House of Rzeszow University of Technology,No,CC BY-NC-ND,No
Przekłady Literatur Słowiańskich,1899-9417,2353-9763,"Bosnian, Bulgarian, Croatian, Czech, English, Macedonian, Polish, Serbian, Slovak, Slovenian",Wydawnictwo Uniwersytetu Śląskiego,No,CC BY-SA,No
Revista Brasileira de Gestão De Negócios,1806-4892,1983-0807,"Portuguese, English, Spanish",Fundação Escola de Comércio Álvares Penteado,No,CC BY,No
Tidsskrift for Kulturforskning,1502-7473,2387-6727,"Danish, Norwegian Bokmål, Norwegian Nynorsk, Swedish",Novus forlag,No,CC BY-SA,No
Anais da Academia Brasileira de Ciências,0001-3765,1678-2690,English,Academia Brasileira de Ciências,No,CC BY,No
Journal Of Oral Investigations,,2238-510X,Portuguese,Faculdade Meridional IMED,No,CC BY,No
Archivos de Ciencias de la Educación,,2346-8866,Spanish,Universidad Nacional de La Plata,No,CC BY-NC-SA,No
"Revista de Direito Urbanístico, Cidade e Alteridade",,2525-989X,Portuguese,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),No,CC BY-NC,No
Ecosistemas y Recursos Agropecuarios,2007-9028,2007-901X,"English, Spanish",Universidad Juárez Autónoma de Tabasco,No,CC BY-NC-ND,No
Revista Jurídica da Ufersa,,2526-9488,Portuguese,Universidade Federal Rural do Semi-árido,No,CC BY,No
Revista Arqueologia Pública,,2237-8294,Portuguese,Universidade Estadual de Campinas,No,CC BY-NC,No
Telos: Revista de Estudios Interdisciplinarios en Ciencias Sociales,1317-0570,2343-5763,"English, Portuguese, Spanish",Universidad Rafael Belloso Chacín,No,CC BY-NC-SA,No
ХХI век: Техносферная безопасность,2500-1582,2500-1574,"English, Russian",Irkutsk National Research Technical University,No,CC BY,No
K@ta: A Biannual Publication on the Study of Language and Literature,1411-2639,,English,Petra Christian University,No,CC BY,No
Novecento Transnazionale,,2532-1994,"Italian, English",Sapienza Università di Roma,No,CC BY,No
Chempublish Journal,,2503-4588,Indonesian,Universitas Jambi,No,CC BY,Yes
Journal of Algebra and Related Topics,2345-3931,2382-9877,English,University of Guilan,No,CC BY-NC,No
Revista Española de Nutrición Humana y Dietética,2173-1292,2174-5145,"Spanish, English",Academia Española de Nutrición y Dietética,No,CC BY-NC-SA,No
Aquaculture Environment Interactions,1869-215X,1869-7534,English,Inter-Research,No,CC BY,Yes
V!RUS,,2175-974X,"English, Portuguese, Spanish",Nomads.usp,No,CC BY-NC,No
Papeles de Europa,,1989-5917,"English, Spanish",Universidad Complutense de Madrid,No,CC BY,No
"Food Production, Processing and Nutrition",,2661-8974,English,BMC,No,CC BY,No
Actualidad Económica,0327-585X,2250-754X,Spanish,Universidad Nacional de Córdoba,No,CC BY-NC-ND,No
International Journal of Medical Toxicology and Forensic Medicine,2251-8762,2251-8770,English,Shaheed Beheshti University of Medical Sciences,No,Publisher's own license,No
Letters in Biomathematics,,2373-7867,English,Intercollegiate Biomathematics Alliance,No,CC BY-NC-ND,Yes
The Nordic Atlas of Language Structures (NALS) Journal,,2387-2667,English,University of Oslo,No,CC BY,No
Ciências Sociais Unisinos,1519-7050,,Portuguese,Universidade do Vale do Rio dos Sinos,No,CC BY,No
RUS (São Paulo),,2317-4765,"English, Portuguese",Universidade de São Paulo (USP),No,CC BY-NC-SA,No
Mora,0328-8773,1853-001X,Spanish,"Facultad de Filosofía y Letras, Universidad de Buenos Aires",No,CC BY-SA,No
Jurnal Kesehatan,2086-2555,2622-7363,"English, Indonesian",Fakultas Kedokteran dan Ilmu Kesehatan,No,CC BY-NC-SA,No
Partecipazione e Conflitto,1972-7623,2035-6609,English,Coordinamento SIBA,No,CC BY-NC-ND,No
Tópicos,1666-485X,1668-723X,"Portuguese, Spanish",Asociación Revista de Filosofía de Santa Fe,No,CC BY-NC-SA,No
Debater a Europa,,1647-6336,Portuguese,Coimbra University Press,No,CC BY,No
Theoretical and Applied Veterinary Medicine,2663-1156,2663-1164,"English, Russian, Ukrainian",Dnipro State Agrarian and Economic University,No,CC BY,Yes
Italiano a scuola,,2704-8128,"English, Italian",University of Bologna,No,CC BY,No
Journal of Data Mining and Digital Humanities,,2416-5999,English,Nicolas Turenne,No,CC BY,No
Cadernos ESP,1808-7329,1809-0893,Portuguese,Escola de Saúde Pública do Ceará,No,CC BY-NC,No
International Journal of Coastal and Offshore Engineering,2538-2667,2588-3186,English,Iranian Association of Naval Architecture and Marine Engineering,No,CC BY-NC,No
Arquivo Brasileiro de Medicina Veterinária e Zootecnia,0102-0935,1678-4162,"English, Portuguese",Universidade Federal de Minas Gerais,No,CC BY,Yes
Jurnal Educatio FKIP UNMA,2459-9522,2548-6756,Indonesian,Universitas Majalengka,No,CC BY-SA,Yes
SciPost Physics Core,,2666-9366,English,SciPost,Yes,CC BY,No
Law and Justice,,2549-8282,"English, Indonesian",Muhammadiyah University Press,No,CC BY,No
Norba. Arte,0213-2214,2660-714X,Spanish,Universidad de Extremadura,No,CC BY,No
Nuntius Antiquus,2179-7064,1983-3636,"English, Portuguese",Universidade Federal de Minas Gerais,No,CC BY,No
Sučasnì Problemi Ekonomìki ì Pìdpriêmnictvo,2310-5534,2414-9306,"Ukrainian, Russian, English",Igor Sikorsky Kyiv Polytechnic Institute,No,CC BY,No
Estudos do CEPE,1413-4128,1982-6729,Portuguese,Universidade de Santa Cruz do Sul,No,CC BY,No
Marine Fisheries: Jurnal Teknologi dan Manajemen Perikanan Laut,2087-4235,2541-1659,Indonesian,Bogor Agricultural University,No,CC BY-SA,Yes
Selecciones Matemáticas,,2411-1783,Spanish,Universidad Nacional de Trujillo,No,CC BY-NC,No
Horizonte,1679-9615,2175-5841,"English, Portuguese, Spanish, Italian, French",Pontifícia Universidade Católica de Minas Gerais,No,CC BY,No
Muhandisī-i bihdāsht-i ḥirfah/ī,,2383-3378,Persian,Hamadan University of Medical Sciences,No,CC BY-NC,No
Pensar,1519-8464,2317-2150,"Portuguese, English, Spanish, Italian, French",Universidade de Fortaleza,No,CC BY-NC,No
Cadernos do Programa de Pós-Graduação em Direito – PPGDir./UFRGS,1678-5029,2317-8558,"English, French, German, Italian, Portuguese, Spanish",UFRGS (Ferderal University of Rio Grande do Sul),No,CC BY-NC,No
Munibe Antropologia-Arkeologia,1132-2217,2172-4555,"Spanish, German, French, English, Basque",Sociedad de Ciencias Aranzadi,No,CC BY-NC-ND,No
"Ação Midiática - Estudos em Comunicação, Sociedade e Cultura",,2238-0701,"English, French, Portuguese, Spanish",Hertz Wendel de Camargo,No,CC BY-NC,No
Hong Kong Physiotherapy Journal,1013-7025,1876-441X,English,World Scientific Publishing,No,CC BY-NC-ND,No
Praxis Filosófica,0120-4688,2389-9387,"English, French, German, Italian, Portuguese, Spanish",Universidad del Valle,No,CC BY-NC-SA,No
Pro-Posições,0103-7307,1980-6248,"English, French, German, Italian, Portuguese, Spanish",Universidade Estadual de Campinas,No,CC BY-NC,No
GeoNordeste,1518-6059,2318-2695,Portuguese,Programa de Pós-graduação em Geografia (PPGEO),No,CC BY-NC,No
Performance,1829-6467,2615-8094,"English, Indonesian",Jenderal Soedirman University,No,CC BY,No
International Journal of Comparative Psychology,0889-3667,2168-3344,English,"eScholarship Publishing, University of California",No,CC BY,No
Journal of Marine and Island Cultures,,2212-6821,English,Mokpo National University,No,CC BY-NC-ND,No
Revista Mexicana de Biodiversidad,1870-3453,2007-8706,"English, Spanish",Universidad Nacional Autónoma de México,No,CC BY-NC-ND,No
Journal of Agricultural and Resource Economics,1068-5502,2327-8285,English,Western Agricultural Economics Association,No,CC BY-NC,Yes
Revista de Historia Social y de las Mentalidades,0717-5248,0719-4749,Spanish,Universidad de Santiago de Chile,No,CC BY,No
Matter and Radiation at Extremes,,2468-080X,English,AIP Publishing LLC,No,CC BY,No
Wine Business Case Research Journal,,2379-741X,English,The Wine Business Institute at Sonoma State University,No,CC BY,No
Journal of Electrical Systems and Information Technology,,2314-7172,English,SpringerOpen,No,CC BY,No
Bitácora Urbano Territorial,0124-7913,2027-145X,"English, Portuguese, Spanish",Universidad Nacional de Colombia,No,CC BY,No
"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences",2194-9042,2194-9050,English,Copernicus Publications,Yes,CC BY,No
Revista de Direito Setorial e Regulatório,2446-550X,2446-5259,English,Universidade de Brasília,No,CC BY,No
Медицина болю,2414-3812,2519-2752,"English, Russian, Ukrainian",Interdisciplinary Academy of Pain Medicine,No,CC BY,No
International Journal of Gerontology,1873-9598,,English,Taiwan Society of Geriatric Emergency and Critical Medicine (TSGECM),No,CC BY-NC-ND,Yes
Jurnal Rekayasa Sistem Industri,0216-1036,2339-1499,"English, Indonesian",LPPM Universitas Katolik Parahyangan,No,CC BY,No
Burns Open,,2468-9122,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Perifèria: Revista de Recerca i Formació en Antropologia,,1885-8996,"Catalan, English, Portuguese, Spanish",Universitat Autònoma de Barcelona,No,CC BY-NC,No
Efficacy and Mechanism Evaluation,2050-4365,2050-4373,English,NIHR Journals Library,No,Publisher's own license,No
Clínica y Salud. Investigación Empírica en Psicología,1130-5274,2174-0550,"English, Spanish",Colegio Oficial de Psicólogos de Madrid,No,CC BY-NC-ND,No
NAMMCO Scientific Publications,1560-2206,2309-2491,English,Septentrio Academic Publishing,Yes,CC BY,No
"Journal of the Anus, Rectum and Colon",,2432-3853,English,The Japan Society of Coloproctology,No,CC BY-NC-ND,Yes
El Taller de la Historia,1657-3633,,"English, Portuguese, Spanish",Universidad de Cartagena,No,CC BY-NC,No
Psychosocial Intervention,1132-0559,2173-4712,"English, Spanish",Colegio Oficial de Psicólogos de Madrid,No,CC BY-NC-ND,No
International Journal of Islamic Thought,2232-1314,,"Arabic, English, Malay (macrolanguage)",Universiti Kebangsaan Malaysia,No,CC BY-NC-ND,Yes
Mudra: Jurnal Seni Budaya,0854-3461,2541-0407,"English, Indonesian",Institut Seni Indonesia Denpasar,No,CC BY-NC,No
Continentes,,2317-8825,Portuguese,Universidade Federal Rural do Rio de Janeiro,No,CC BY,No
Ciência da Informação em Revista,,2358-0763,Portuguese,Universidade Federal de Alagoas,No,CC BY,No
e-Agronegocios,,2215-3462,Spanish,Instituto Tecnológico de Costa Rica,No,CC BY-NC,No
Confabulaciones,,2545-8736,Spanish,Instituto Interdisciplinario de Literaturas Argentina y Comparadas (IILAC),No,CC BY-NC-SA,No
DAPesquisa,,1808-3129,Portuguese,Universidade do Estado de Santa Catarina,No,CC BY,No
AJAR (Asian Journal of Accounting Research),2459-9700,2443-4175,English,Emerald Publishing,No,CC BY,No
Journal of Controversies in Biomedical Research,,2205-5975,English,Biogenic Press,No,CC BY,No
Journal of Financial Therapy,1945-7774,1944-9771,English,New Prairie Press,No,CC BY-NC,No
Acta Geobalcanica,,1857-9833,English,Geobalcanica Society,No,CC BY,No
Revista Dor,1806-0013,2317-6393,"English, Portuguese, Spanish",Sociedade Brasileira para o Estudo da Dor,No,CC BY,No
NURE Investigación,,1697-218X,Spanish,Fundación para el Desarrollo de la Enfermería,No,Publisher's own license,No
Zeitschrift für Praktische Philosophie,,2409-9961,German,Universität Salzburg,No,CC BY,No
Ljetopis socijalnog rada,1846-5412,1848-7971,"Croatian, English","University of Zagreb, Faculty of Law",No,CC BY-NC-ND,No
Hunar-i zabān,2476-6526,2538-2713,"Arabic, English, Persian, Russian",Language Art,No,CC BY,No
Revista Linhas,,1984-7238,Portuguese,Universidade do Estado de Santa Catarina,No,Publisher's own license,No
Ambiência,1808-0251,2175-9405,"English, Portuguese",Editora Unicentro,No,CC BY,No
Enseñanza,0212-5374,2386-3900,Spanish,Ediciones Universidad de Salamanca,No,CC BY-NC-ND,No
Catalan Journal of Linguistics,1695-6885,2014-9719,"Catalan, English",Universitat Autònoma de Barcelona,No,CC BY-NC,No
Pesquisa Brasileira em Odontopediatria e Clínica Integrada,1519-0501,1983-4632,"English, Portuguese",Association of Support to Oral Health Research (APESB),No,CC BY,Yes
Biblioteca della Libertà,,2035-5866,"Italian, French, English",Centro Einaudi,No,Publisher's own license,No
Mendel,1803-3814,2571-3701,English,Brno University of Technology,No,CC BY-NC-SA,Yes
ICTACT Journal on Soft Computing,0976-6561,2229-6956,English,ICT Academy of Tamil Nadu,No,CC BY-NC-SA,No
Postscriptum Polonistyczne,1898-1593,2353-9844,"Polish, English",University of Silesia Press,No,CC BY-SA,No
Review of International American Studies,,1991-2773,"English, Spanish, Portuguese, French",University of Silesia Press,No,CC BY-SA,No
Financial Law Review,,2299-6834,English,University of Gdańsk,No,CC BY-NC-ND,No
Border and Regional Studies,,2719-6577,English,University of Opole,No,CC BY-NC-SA,No
Problemy Prawa Karnego,0208-5577,2353-9712,"Spanish, English, Polish",University of Silesia Press,No,CC BY-SA,No
Śląskie Studia Polonistyczne,2084-0772,2353-0928,"Polish, English",University of Silesia Press,No,CC BY-SA,No
Przegląd Pedagogiczny,1897-6557,,"Polish, English, French, German, Russian",Uniwersytet Kazimierza Wielkiego,No,CC BY-ND,No
Collectanea Theologica,0137-6985,,"English, Polish",Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,No,CC BY-ND,No
Animal Diseases,,2731-0442,English,BMC,No,CC BY,No
Reproduction and Fertility,,2633-8386,English,Bioscientifica,No,"CC BY, CC BY-NC, CC BY-NC-ND",No
Energy Material Advances,,2692-7640,English,American Association for the Advancement of Science (AAAS),No,CC BY,No
Museum Worlds,2049-6729,2049-6737,English,Berghahn Books,No,"CC BY, CC BY-ND, CC BY-NC-ND",No
Religion and Society,2150-9298,2150-9301,English,Berghahn Books,No,"CC BY, CC BY-ND, CC BY-NC-ND",No
JCO Global Oncology,,2687-8941,English,American Society of Clinical Oncology,No,"CC BY, CC BY-NC-ND",Yes
Journal of Legal Anthropology,1758-9576,1758-9584,English,Berghahn Books,No,"CC BY, CC BY-ND, CC BY-NC-ND",No
Space: Science & Technology,,2692-7659,English,American Association for the Advancement of Science (AAAS),No,CC BY,No
Revue Gouvernance,,1912-0362,"French, English",Centre d’études en gouvernance de l’Université d’Ottawa / Centre on Governance University of Ottawa,No,CC BY-SA,No
Journal Committed to Social Change on Race and Ethnicity,,2642-2387,English,University of Oklahoma Libraries,No,CC BY-NC-SA,No
The Journal of Climate Change and Health,,2667-2782,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
The ReScience Journal,,2430-3658,English,Nicolas P. Rougier,No,CC BY,No
Disease and Diagnosis,,2717-3232,English,Hormozgan University of Medical Sciences,No,CC BY,No
توسعه فضاهای پیراشهری,2676-4164,2676-4172,Persian,Iranian association of geography and rural planning,No,CC BY,Yes
پژوهش های علوم دامی,2008-5125,2676-5705,"Persian, English",University of tabriz,No,CC BY-NC,Yes
Journal of Biostatistics and Epidemiology,2383-4196,2383-420X,English,Tehran University of Medical Sciences,No,CC BY-NC,No
Journal of Sleep Sciences,2476-2938,2476-2946,English,Tehran University of Medical Sciences,No,CC BY-NC,No
Journal of Crop Protection,2251-9041,2251-905X,English,University of Tarbiat Modares,No,CC BY-NC,No
Litinfinite,,2582-0400,"English, Bengali","Supriyo Chakraborty, Penprints Publication",No,CC BY-NC,No
Jurnal Ilmiah Kursor: Menuju Solusi Teknologi Informasi,0216-0544,2301-6914,English,"Informatics Department, Engineering Faculty",No,CC BY,No
Elektron,2085-6989,2654-4733,Indonesian,Jurusan Teknik Elektro Politeknik Negeri Padang,No,CC BY-NC-SA,Yes
Dewa Ruci: Jurnal Pengkajian dan Penciptaan Seni,1412-4181,2685-287X,Indonesian,Institut Seni Indonesia Surakarta,No,CC BY-SA,Yes
Journal of Language and Literature,1410-5691,2580-5878,English,Prodi Sastra Inggris Fakultas Sastra Universitas Sanata Dharma,No,CC BY-SA,No
Religi: Jurnal Studi Agama-Agama,1412-2634,2548-4753,"Indonesian, English, Arabic","Program Studi Agama-Agama, Universitas Islam Negeri Sunan Kalijaga Yogyakarta",No,CC BY-SA,No
Jurnal Pemberdayaan Masyarakat: Media Pemikiran dan Dakwah Pembangunan,2580-863X,2597-7768,"English, Indonesian",Program Studi Pengembangan Masyarakat Islam,No,CC BY-NC,No
Journal of Cultura and Lingua,,2746-4806,English,"Program Studi Sastra Inggris, Fakultas Ilmu Budaya, Universitas Bung Hatta",No,CC BY,No
Psychiatria Fennica,,2489-6152,English,The Finnish Foundation for Psychiatric Research,No,CC BY,No
